Frequency,S11
2.619999886,0.6045647502
2.621999979,0.6048575194
2.624000072,0.6051473065
2.625999928,0.6054336934
2.628000021,0.6057171852
2.630000114,0.6059975327
2.631999969,0.6062748082
2.634000063,0.6065490287
2.635999918,0.6068202882
2.638000011,0.607088544
2.640000105,0.6073538223
2.64199996,0.6076160413
2.644000053,0.607875377
2.645999908,0.6081319053
2.648000002,0.6083853234
2.650000095,0.6086359649
2.65199995,0.6088836606
2.654000044,0.6091285657
2.655999899,0.6093706146
2.657999992,0.6096097824
2.660000086,0.6098461799
2.661999941,0.6100797745
2.664000034,0.6103105948
2.665999889,0.610538586
2.667999983,0.6107638494
2.670000076,0.6109864321
2.671999931,0.6112062008
2.674000025,0.6114233154
2.676000118,0.6116377394
2.677999973,0.6118494048
2.680000067,0.6120585333
2.681999922,0.6122648818
2.684000015,0.612468561
2.686000109,0.6126696162
2.687999964,0.6128681451
2.690000057,0.6130640146
2.691999912,0.6132571727
2.694000006,0.6134478745
2.696000099,0.6136358675
2.697999954,0.613821359
2.700000048,0.6140043147
2.701999903,0.614184682
2.703999996,0.6143624517
2.70600009,0.6145377563
2.707999945,0.6147106092
2.710000038,0.6148806915
2.711999893,0.6150484799
2.713999987,0.6152136509
2.71600008,0.6153764744
2.717999935,0.6155367113
2.720000029,0.6156944565
2.721999884,0.6158497621
2.723999977,0.616002605
2.726000071,0.616153008
2.727999926,0.616300983
2.730000019,0.6164464258
2.732000113,0.6165894925
2.733999968,0.61673015
2.736000061,0.6168683723
2.737999916,0.6170041774
2.74000001,0.6171375447
2.742000103,0.6172685044
2.743999958,0.6173970761
2.746000051,0.6175233517
2.747999907,0.6176471087
2.75,0.617768542
2.752000093,0.6178875061
2.753999949,0.6180041976
2.756000042,0.6181185418
2.757999897,0.6182304365
2.75999999,0.61833998
2.762000084,0.6184471071
2.763999939,0.6185519895
2.766000032,0.6186544642
2.767999887,0.6187546639
2.769999981,0.6188524847
2.772000074,0.6189478946
2.773999929,0.6190410138
2.776000023,0.6191317717
2.778000116,0.6192202092
2.779999971,0.6193063755
2.782000065,0.6193900872
2.78399992,0.619471569
2.786000013,0.6195507928
2.788000107,0.6196276429
2.789999962,0.6197021535
2.792000055,0.6197743225
2.79399991,0.6198441906
2.796000004,0.6199118002
2.798000097,0.619977021
2.799999952,0.6200400159
2.802000046,0.6201006506
2.803999901,0.6201589703
2.805999994,0.6202150205
2.808000088,0.6202687764
2.809999943,0.6203202321
2.812000036,0.6203693735
2.813999891,0.6204161698
2.815999985,0.6204607307
2.818000078,0.6205029259
2.819999933,0.6205429622
2.822000027,0.6205805366
2.823999882,0.6206159206
2.825999975,0.6206489838
2.828000069,0.6206796872
2.829999924,0.6207082295
2.832000017,0.6207343693
2.834000111,0.6207582846
2.835999966,0.620779849
2.838000059,0.620799147
2.839999914,0.6208162013
2.842000008,0.6208308986
2.844000101,0.6208433351
2.845999956,0.6208534734
2.84800005,0.6208613471
2.849999905,0.620866889
2.851999998,0.6208701361
2.854000092,0.6208710444
2.855999947,0.6208698017
2.85800004,0.620866129
2.859999895,0.6208602747
2.861999989,0.6208520766
2.864000082,0.6208416053
2.865999937,0.6208287969
2.868000031,0.6208137748
2.869999886,0.6207963646
2.871999979,0.6207767699
