# f_norm[GHz] T_norm[K]
0.408 25.722
0.408 24.484
0.408 23.712
0.408 25.835
0.408 26.030
0.408 23.727
0.408 24.407
0.408 22.771
0.408 22.122
0.408 20.948
0.408 20.843
0.408 22.231
0.408 23.928
0.408 21.745
0.408 24.469
0.408 19.414
0.408 19.867
0.408 20.170
0.408 18.919
0.408 21.878
0.408 25.333
0.408 19.806
0.408 22.385
0.408 19.409
0.408 17.179
0.408 16.960
0.408 15.821
0.408 18.343
0.408 20.571
0.408 17.560
0.408 19.193
0.408 26.511
0.408 24.211
0.408 21.719
0.408 21.375
0.408 23.528
0.408 22.632
0.408 21.811
0.408 21.375
0.408 20.116
0.408 20.813
0.408 19.275
0.408 19.794
0.408 21.156
0.408 21.158
0.408 20.099
0.408 21.124
0.408 14.756
0.408 15.206
0.408 13.899
0.408 15.598
0.408 16.821
0.408 18.565
0.408 17.192
0.408 18.925
0.408 15.090
0.408 17.455
0.408 16.588
0.408 17.278
0.408 18.399
0.408 18.402
0.408 17.346
0.408 17.304
0.408 19.347
0.408 19.411
0.408 19.742
0.408 19.633
0.408 19.997
0.408 21.932
0.408 20.634
0.408 22.908
0.408 18.288
0.408 18.178
0.408 17.069
0.408 16.346
0.408 18.599
0.408 19.399
0.408 15.496
0.408 15.069
0.408 20.770
0.408 20.418
0.408 20.714
0.408 20.453
0.408 20.344
0.408 20.105
0.408 20.174
0.408 20.222
0.408 21.203
0.408 20.943
0.408 22.164
0.408 22.263
0.408 20.996
0.408 21.001
0.408 22.159
0.408 22.303
0.408 20.095
0.408 20.471
0.408 20.353
0.408 20.935
0.408 22.014
0.408 25.249
0.408 23.073
0.408 26.772
0.408 21.022
0.408 22.328
0.408 23.200
0.408 24.274
0.408 24.636
0.408 28.096
0.408 25.948
0.408 27.773
0.408 23.793
0.408 24.054
0.408 24.720
0.408 24.937
0.408 24.117
0.408 24.581
0.408 24.116
0.408 23.462
0.408 20.457
0.408 20.411
0.408 15.496
0.408 16.577
0.408 20.483
0.408 23.877
0.408 20.982
0.408 24.564
0.408 24.824
0.408 25.028
0.408 23.376
0.408 24.135
0.408 26.663
0.408 24.311
0.408 23.955
0.408 19.752
0.408 22.941
0.408 20.417
0.408 19.433
0.408 16.926
0.408 18.914
0.408 17.346
0.408 16.781
0.408 16.808
0.408 28.269
0.408 29.353
0.408 31.056
0.408 33.116
0.408 30.167
0.408 30.609
0.408 33.969
0.408 35.003
0.408 31.676
0.408 34.602
0.408 33.742
0.408 36.344
0.408 36.832
0.408 39.690
0.408 38.735
0.408 43.207
0.408 30.652
0.408 31.712
0.408 36.152
0.408 38.602
0.408 32.773
0.408 34.352
0.408 40.064
0.408 41.581
0.408 42.164
0.408 45.121
0.408 47.527
0.408 51.454
0.408 47.094
0.408 48.628
0.408 54.063
0.408 57.705
0.408 33.862
0.408 36.596
0.408 33.466
0.408 36.371
0.408 39.322
0.408 43.977
0.408 39.970
0.408 44.821
0.408 34.028
0.408 36.820
0.408 36.053
0.408 40.766
0.408 42.782
0.408 51.797
0.408 50.294
0.408 63.811
0.408 49.964
0.408 56.717
0.408 52.530
0.408 64.984
0.408 62.406
0.408 77.358
0.408 80.295
0.408 109.460
0.408 63.399
0.408 81.572
0.408 77.382
0.408 102.637
0.408 111.301
0.408 170.909
0.408 161.524
0.408 300.117
0.408 38.024
0.408 47.544
0.408 45.047
0.408 54.983
0.408 56.182
0.408 67.620
0.408 70.275
0.408 92.313
0.408 54.785
0.408 66.601
0.408 67.031
0.408 84.425
0.408 88.310
0.408 131.260
0.408 124.669
0.408 199.207
0.408 90.093
0.408 119.165
0.408 130.494
0.408 173.575
0.408 159.456
0.408 167.764
0.408 192.389
0.408 159.416
0.408 196.940
0.408 223.672
0.408 241.790
0.408 199.817
0.408 173.444
0.408 118.210
0.408 136.142
0.408 94.567
0.408 104.197
0.408 140.536
0.408 166.910
0.408 236.914
0.408 204.619
0.408 253.320
0.408 270.025
0.408 222.112
0.408 262.912
0.408 301.779
0.408 351.718
0.408 252.408
0.408 228.060
0.408 143.288
0.408 149.890
0.408 98.641
0.408 212.602
0.408 147.146
0.408 155.715
0.408 116.431
0.408 110.291
0.408 84.567
0.408 93.989
0.408 78.641
0.408 108.845
0.408 95.333
0.408 82.859
0.408 74.548
0.408 80.223
0.408 66.407
0.408 64.498
0.408 55.101
0.408 41.367
0.408 49.482
0.408 50.837
0.408 65.999
0.408 61.444
0.408 78.081
0.408 82.965
0.408 107.033
0.408 61.204
0.408 82.464
0.408 70.130
0.408 95.187
0.408 110.792
0.408 159.442
0.408 143.144
0.408 229.194
0.408 94.820
0.408 135.549
0.408 137.749
0.408 205.186
0.408 228.236
0.408 347.336
0.408 268.626
0.408 249.050
0.408 214.427
0.408 252.186
0.408 267.619
0.408 213.806
0.408 212.464
0.408 145.450
0.408 137.030
0.408 94.252
0.408 83.055
0.408 126.564
0.408 98.290
0.408 160.359
0.408 209.994
0.408 262.574
0.408 235.402
0.408 214.678
0.408 127.972
0.408 153.606
0.408 146.371
0.408 118.762
0.408 160.337
0.408 136.142
0.408 93.019
0.408 87.987
0.408 223.814
0.408 148.952
0.408 151.724
0.408 109.389
0.408 97.443
0.408 74.967
0.408 80.749
0.408 64.685
0.408 109.694
0.408 86.923
0.408 81.170
0.408 71.642
0.408 70.161
0.408 57.641
0.408 62.975
0.408 52.441
0.408 303.335
0.408 164.257
0.408 170.034
0.408 107.959
0.408 101.480
0.408 75.271
0.408 80.566
0.408 62.994
0.408 102.458
0.408 76.987
0.408 75.480
0.408 62.094
0.408 67.110
0.408 55.709
0.408 57.225
0.408 50.735
0.408 65.964
0.408 60.546
0.408 54.593
0.408 50.598
0.408 52.892
0.408 48.938
0.408 45.559
0.408 43.309
0.408 47.187
0.408 44.415
0.408 42.231
0.408 40.359
0.408 41.195
0.408 38.547
0.408 38.750
0.408 34.965
0.408 63.326
0.408 55.286
0.408 54.900
0.408 49.633
0.408 50.749
0.408 45.799
0.408 45.399
0.408 40.307
0.408 48.742
0.408 44.730
0.408 44.490
0.408 40.374
0.408 40.313
0.408 35.206
0.408 35.738
0.408 32.583
0.408 38.185
0.408 37.101
0.408 34.894
0.408 34.517
0.408 35.793
0.408 32.364
0.408 32.617
0.408 29.920
0.408 32.989
0.408 33.120
0.408 32.894
0.408 32.601
0.408 31.242
0.408 28.464
0.408 30.350
0.408 27.609
0.408 20.814
0.408 19.339
0.408 22.039
0.408 19.917
0.408 19.619
0.408 21.376
0.408 19.664
0.408 21.044
0.408 24.464
0.408 22.215
0.408 26.998
0.408 25.521
0.408 21.211
0.408 21.675
0.408 23.785
0.408 23.565
0.408 22.927
0.408 23.450
0.408 22.904
0.408 24.390
0.408 24.040
0.408 24.670
0.408 25.943
0.408 27.269
0.408 23.482
0.408 26.252
0.408 25.603
0.408 28.955
0.408 28.148
0.408 29.105
0.408 30.037
0.408 29.696
0.408 27.786
0.408 27.287
0.408 27.530
0.408 26.950
0.408 25.871
0.408 25.773
0.408 25.889
0.408 25.803
0.408 27.446
0.408 27.145
0.408 28.928
0.408 28.965
0.408 26.811
0.408 27.127
0.408 29.038
0.408 30.805
0.408 28.131
0.408 31.054
0.408 28.487
0.408 32.385
0.408 32.167
0.408 31.720
0.408 36.041
0.408 38.682
0.408 30.167
0.408 34.563
0.408 34.437
0.408 41.485
0.408 39.042
0.408 45.055
0.408 47.896
0.408 53.103
0.408 25.134
0.408 26.498
0.408 27.615
0.408 29.000
0.408 31.353
0.408 37.714
0.408 35.780
0.408 44.043
0.408 29.589
0.408 32.849
0.408 30.441
0.408 37.830
0.408 51.989
0.408 70.784
0.408 89.826
0.408 162.573
0.408 41.283
0.408 45.706
0.408 47.173
0.408 50.730
0.408 51.833
0.408 59.223
0.408 55.737
0.408 55.915
0.408 57.311
0.408 55.132
0.408 87.643
0.408 58.900
0.408 55.490
0.408 51.792
0.408 54.142
0.408 46.662
0.408 33.102
0.408 41.690
0.408 41.379
0.408 48.266
0.408 71.893
0.408 118.763
0.408 58.528
0.408 64.376
0.408 53.121
0.408 57.875
0.408 65.020
0.408 66.152
0.408 58.562
0.408 54.272
0.408 56.011
0.408 45.373
0.408 80.997
0.408 54.484
0.408 58.280
0.408 47.913
0.408 48.562
0.408 41.958
0.408 41.178
0.408 36.636
0.408 49.237
0.408 42.153
0.408 39.400
0.408 35.057
0.408 36.373
0.408 32.459
0.408 31.486
0.408 28.822
0.408 30.554
0.408 32.114
0.408 29.945
0.408 33.092
0.408 33.756
0.408 36.437
0.408 38.038
0.408 44.831
0.408 31.255
0.408 35.556
0.408 35.894
0.408 41.270
0.408 42.912
0.408 54.463
0.408 51.945
0.408 64.999
0.408 41.533
0.408 59.265
0.408 55.898
0.408 96.170
0.408 78.937
0.408 76.098
0.408 132.068
0.408 102.316
0.408 71.944
0.408 114.530
0.408 77.924
0.408 96.258
0.408 159.750
0.408 109.877
0.408 155.399
0.408 105.427
0.408 42.418
0.408 49.787
0.408 58.712
0.408 69.518
0.408 63.837
0.408 70.125
0.408 74.553
0.408 65.556
0.408 100.209
0.408 97.341
0.408 136.024
0.408 101.996
0.408 73.908
0.408 54.276
0.408 65.802
0.408 50.400
0.408 67.704
0.408 60.339
0.408 52.534
0.408 40.918
0.408 76.516
0.408 61.622
0.408 34.437
0.408 31.013
0.408 44.274
0.408 37.041
0.408 43.833
0.408 37.518
0.408 30.623
0.408 27.151
0.408 30.504
0.408 26.087
0.408 74.116
0.408 64.314
0.408 74.792
0.408 55.259
0.408 46.691
0.408 36.417
0.408 38.267
0.408 30.559
0.408 64.389
0.408 44.571
0.408 49.855
0.408 38.026
0.408 34.612
0.408 28.686
0.408 34.087
0.408 30.126
0.408 31.569
0.408 28.687
0.408 27.448
0.408 25.355
0.408 26.639
0.408 24.753
0.408 24.177
0.408 22.855
0.408 25.712
0.408 24.460
0.408 26.783
0.408 25.749
0.408 23.602
0.408 22.544
0.408 25.086
0.408 23.308
0.408 36.863
0.408 33.218
0.408 29.491
0.408 29.796
0.408 32.325
0.408 31.459
0.408 29.220
0.408 29.285
0.408 25.843
0.408 25.867
0.408 23.166
0.408 21.429
0.408 25.557
0.408 25.037
0.408 21.453
0.408 21.785
0.408 29.601
0.408 28.055
0.408 29.643
0.408 28.547
0.408 26.021
0.408 23.984
0.408 26.257
0.408 25.153
0.408 25.485
0.408 25.717
0.408 22.472
0.408 23.259
0.408 25.267
0.408 24.890
0.408 23.707
0.408 23.154
0.408 17.714
0.408 18.202
0.408 18.939
0.408 19.778
0.408 19.035
0.408 19.164
0.408 21.118
0.408 21.799
0.408 20.513
0.408 22.587
0.408 23.039
0.408 25.179
0.408 24.895
0.408 25.990
0.408 27.699
0.408 29.121
0.408 20.642
0.408 21.978
0.408 22.986
0.408 23.786
0.408 21.560
0.408 22.488
0.408 24.029
0.408 26.266
0.408 27.032
0.408 27.327
0.408 29.923
0.408 30.149
0.408 27.875
0.408 30.350
0.408 30.797
0.408 31.645
0.408 24.513
0.408 25.751
0.408 23.710
0.408 23.888
0.408 27.629
0.408 28.886
0.408 25.401
0.408 27.445
0.408 22.753
0.408 22.380
0.408 24.032
0.408 24.045
0.408 24.299
0.408 27.737
0.408 26.264
0.408 29.522
0.408 28.909
0.408 28.941
0.408 28.239
0.408 29.011
0.408 31.207
0.408 34.011
0.408 34.715
0.408 44.898
0.408 29.841
0.408 32.111
0.408 31.938
0.408 34.924
0.408 37.650
0.408 46.836
0.408 38.135
0.408 39.370
0.408 27.255
0.408 31.792
0.408 30.206
0.408 31.656
0.408 28.948
0.408 26.066
0.408 29.340
0.408 29.088
0.408 32.260
0.408 31.828
0.408 32.859
0.408 33.935
0.408 31.447
0.408 34.818
0.408 35.174
0.408 37.070
0.408 28.831
0.408 32.041
0.408 32.705
0.408 34.285
0.408 31.958
0.408 30.285
0.408 31.305
0.408 26.487
0.408 38.898
0.408 35.090
0.408 39.786
0.408 34.409
0.408 28.489
0.408 22.549
0.408 27.302
0.408 21.452
0.408 35.975
0.408 38.392
0.408 43.235
0.408 42.033
0.408 39.217
0.408 36.034
0.408 40.279
0.408 34.559
0.408 43.929
0.408 41.163
0.408 36.962
0.408 35.258
0.408 39.563
0.408 33.118
0.408 35.637
0.408 31.171
0.408 33.744
0.408 29.774
0.408 30.270
0.408 26.534
0.408 25.025
0.408 20.966
0.408 22.814
0.408 19.660
0.408 30.382
0.408 27.116
0.408 29.713
0.408 27.659
0.408 23.375
0.408 20.260
0.408 24.937
0.408 22.384
0.408 26.585
0.408 28.289
0.408 29.320
0.408 31.734
0.408 30.866
0.408 32.305
0.408 34.930
0.408 35.910
0.408 33.265
0.408 35.287
0.408 37.616
0.408 40.812
0.408 38.095
0.408 39.658
0.408 44.181
0.408 44.843
0.408 34.233
0.408 37.701
0.408 37.077
0.408 39.535
0.408 39.793
0.408 36.146
0.408 40.253
0.408 35.808
0.408 39.622
0.408 39.154
0.408 44.026
0.408 40.978
0.408 37.080
0.408 33.360
0.408 35.222
0.408 30.578
0.408 40.616
0.408 45.806
0.408 44.153
0.408 48.636
0.408 49.669
0.408 47.094
0.408 49.014
0.408 45.830
0.408 50.236
0.408 51.849
0.408 57.643
0.408 52.939
0.408 47.049
0.408 43.479
0.408 46.240
0.408 42.042
0.408 44.546
0.408 41.251
0.408 42.357
0.408 38.814
0.408 35.225
0.408 30.625
0.408 34.918
0.408 30.946
0.408 40.487
0.408 37.680
0.408 39.126
0.408 36.175
0.408 34.516
0.408 30.530
0.408 33.580
0.408 30.225
0.408 32.243
0.408 30.245
0.408 30.567
0.408 29.072
0.408 29.451
0.408 27.685
0.408 27.820
0.408 25.826
0.408 29.514
0.408 28.426
0.408 28.386
0.408 27.633
0.408 27.506
0.408 25.763
0.408 26.189
